,Country,Page Code,League Name,League Division,Link
198,Spain,157,LaLiga,1.0,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1
199,Spain,157,LaLiga2,2.0,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2
200,Spain,157,2ª B - Grupo III,3.0,https://www.transfermarkt.com/segunda-division-b-grupo-iii/startseite/wettbewerb/ES3C
201,Sweden,147,Allsvenskan,1.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
202,Sweden,147,Superettan,2.0,https://www.transfermarkt.com/superettan/startseite/wettbewerb/SE2
203,Sweden,147,Ettan Norra,3.0,https://www.transfermarkt.com/ettan-norra/startseite/wettbewerb/SE3N
204,Switzerland,148,Super League,1.0,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1
205,Switzerland,148,Challenge League,2.0,https://www.transfermarkt.com/challenge-league/startseite/wettbewerb/C2
206,Switzerland,148,Promotion League,3.0,https://www.transfermarkt.com/promotion-league/startseite/wettbewerb/CHPR
207,Tajikistan,165,Vysshaya Liga,1.0,https://www.transfermarkt.com/vysshaya-liga/startseite/wettbewerb/TAD1
208,Thailand,167,Thai League,1.0,https://www.transfermarkt.com/thai-league/startseite/wettbewerb/THA1
209,Thailand,167,Thai League 2,2.0,https://www.transfermarkt.com/thai-league-2/startseite/wettbewerb/THA2
210,Thailand,167,Thailand Champions Cup,3.0,https://www.transfermarkt.com/thailand-champions-cup/startseite/wettbewerb/THCC
211,Tunisia,173,Ligue I Pro,1.0,https://www.transfermarkt.com/ligue-professionnelle-1/startseite/wettbewerb/TUN1
212,Tunisia,173,Tunesischer Supercup,2.0,https://www.transfermarkt.com/tunesischer-supercup/startseite/wettbewerb/TUSC
213,Turkey,174,Süper Lig,1.0,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1
214,Turkey,174,1.Lig,2.0,https://www.transfermarkt.com/1-lig/startseite/wettbewerb/TR2
215,Turkey,174,2.Lig Beyaz,3.0,https://www.transfermarkt.com/2-lig-beyaz/startseite/wettbewerb/TR3A
216,UdSSR,221,Vyschaya Liga autumn championship,1.0,https://www.transfermarkt.com/vyschaya-liga-autumn-championship/startseite/wettbewerb/SU1H
217,UdSSR,221,Vyschaya Liga,2.0,https://www.transfermarkt.com/vyschaya-liga/startseite/wettbewerb/SU1L
218,UdSSR,221,Vyschaya Liga Relegation Round,3.0,https://www.transfermarkt.com/vyschaya-liga-relegation-round/startseite/wettbewerb/SU1A
219,Ukraine,177,Premier Liga,1.0,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1
220,Ukraine,177,Persha Liga,2.0,https://www.transfermarkt.com/persha-liga/startseite/wettbewerb/UKR2
221,Ukraine,177,Ukrainian Cup,3.0,https://www.transfermarkt.com/ukrainian-cup/startseite/wettbewerb/UKRP
222,United Arab Emirates,183,UAE Gulf League,1.0,https://www.transfermarkt.com/uae-arabian-gulf-league/startseite/wettbewerb/UAE1
223,United States,184,MLS,1.0,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1
224,United States,184,USLC,2.0,https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL
225,United States,184,USL1,3.0,https://www.transfermarkt.com/usl-league-one/startseite/wettbewerb/USC3
226,Uruguay,179,Primera División Apertura,1.0,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/URU1
227,Uruguay,179,Segunda División,2.0,https://www.transfermarkt.com/segunda-division-profesional/startseite/wettbewerb/URU2
228,Uruguay,179,Playoffs Primera Division,3.0,https://www.transfermarkt.com/playoffs-primera-division/startseite/wettbewerb/URUP
229,Uzbekistan,180,Superliga,1.0,https://www.transfermarkt.com/ozbekiston-superligasi/startseite/wettbewerb/UZ1
230,Uzbekistan,180,Uzbekistan Cup,2.0,https://www.transfermarkt.com/uzbekistan-cup/startseite/wettbewerb/KOBU
231,Venezuela,182,Torneo Apertura,1.0,https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/VZ1A
232,Venezuela,182,Torneo Clausura,2.0,https://www.transfermarkt.com/torneo-clausura/startseite/wettbewerb/VZ1C
233,Vietnam,185,V.League 1,1.0,https://www.transfermarkt.com/v-league-1/startseite/wettbewerb/VIE1
234,Wales,191,Cymru Premier,1.0,https://www.transfermarkt.com/cymru-premier/startseite/wettbewerb/WAL1
